park_code,latitude,longitude
VOYA,48.5,-92.88
LAVO,40.49,-121.51
CAVE,32.17,-104.44
ISRO,48.1,-88.55
JOTR,33.79,-115.9
MEVE,37.18,-108.49
WRST,61,-142
ACAD,44.35,-68.21
HALE,20.72,-156.17
SAGU,32.25,-110.5
MORA,46.85,-121.75
PEFO,35.07,-109.78
CHIS,34.01,-119.42
YOSE,37.83,-119.5
BISC,25.65,-80.08
CRLA,42.94,-122.1
SHEN,38.53,-78.35
SEKI,36.43,-118.68
ROMO,40.4,-105.58
MACA,37.18,-86.1
GRSA,37.73,-105.51
CONG,33.78,-80.78
ZION,37.3,-113.05
GRSM,35.68,-83.53
GLBA,58.5,-137
GRBA,38.98,-114.3
BLCA,38.57,-107.72
NOCA,48.7,-121.2
KOVA,67.55,-159.28
DRTO,24.63,-82.87
EVER,25.32,-80.93
THRO,46.97,-103.45
BRCA,37.57,-112.18
GLAC,48.8,-114
PINN,36.48,-121.16
KATM,58.5,-155
GRCA,36.06,-112.14
YELL,44.6,-110.5
CUVA,41.24,-81.55
GUMO,31.92,-104.87
REDW,41.3,-124
BADL,43.75,-102.5
GAAR,67.78,-153.3
LACL,60.97,-153.42
BIBE,29.25,-103.25
WICA,43.57,-103.48
DENA,63.33,-150.5
DEVA,36.24,-116.82
CARE,38.2,-111.17
OLYM,47.97,-123.5
CANY,38.2,-109.93
HOSP,34.51,-93.05
KEFJ,59.92,-149.65
GRTE,43.73,-110.8
HAVO,19.38,-155.2
ARCH,38.68,-109.57
