"record_id"	"park_name"	"category"	"order"	"family"	"scientific_name"	"common_name"	"record_status"	"occurrence"	"nativeness"	"abundance"	"conservation_status"	"seasonality"	"park_code"	"state"	"acres"	"latitude"	"longitude"	"day"	"month"	"year"	"annual_pass"	"per_person"
"ARCH-1284"	"Arches National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo punctatus"	"Red-Spotted Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1285"	"Arches National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo woodhousii"	"Woodhouse's Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1286"	"Arches National Park"	"Amphibian"	"Anura"	"Hylidae"	"Hyla arenicolor"	"Canyon Treefrog"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1287"	"Arches National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana catesbeiana"	"Bullfrog"	"Approved"	"Present"	"Not Native"	"Common"	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1288"	"Arches National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana pipiens"	"Northern Leopard Frog"	"Approved"	"Present"	"Native"	"Unknown"	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1289"	"Arches National Park"	"Amphibian"	"Anura"	"Scaphiopodidae"	"Spea intermontana"	"Great Basin Spadefoot"	"Approved"	"Present"	"Native"	"Unknown"	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1290"	"Arches National Park"	"Amphibian"	"Anura"	"Scaphiopodidae"	"Spea multiplicata"	"Mexican Spadefoot"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"ARCH-1291"	"Arches National Park"	"Amphibian"	"Caudata"	"Ambystomatidae"	"Ambystoma tigrinum"	"Tiger Salamander"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"ARCH"	"UT"	76519	38.68	-109.57	12	11	1971	55	15
"BADL-1316"	"Badlands National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo cognatus"	"Great Plains Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1317"	"Badlands National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo woodhousii"	"Woodhouse's Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1318"	"Badlands National Park"	"Amphibian"	"Anura"	"Hylidae"	"Pseudacris maculata"	"Boreal Chorus Frog"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1319"	"Badlands National Park"	"Amphibian"	"Anura"	"Hylidae"	"Pseudacris triseriata"	"Western Chorus Frog"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1320"	"Badlands National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana blairi"	"Plains Leopard Frog"	"Approved"	"Not Confirmed"	"Native"	NA	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1321"	"Badlands National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana catesbeiana"	"Bullfrog"	"Approved"	"Not Present"	"Unknown"	NA	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1322"	"Badlands National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana pipiens"	"Northern Leopard Frog"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1323"	"Badlands National Park"	"Amphibian"	"Anura"	"Scaphiopodidae"	"Spea bombifrons"	"Plains Spadefoot"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BADL-1325"	"Badlands National Park"	"Amphibian"	"Caudata"	"Ambystomatidae"	"Ambystoma tigrinum"	"Tiger Salamander"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BADL"	"SD"	242756	43.75	-102.5	10	11	1978	55	15
"BIBE-1566"	"Big Bend National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo debilis"	"Western Green Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1567"	"Big Bend National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo punctatus"	"Red-Spotted Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1568"	"Big Bend National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo speciosus"	"Texas Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1569"	"Big Bend National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo woodhousii"	"Woodhouse's Toad"	"Approved"	"Not Present (Historical Report)"	"Native"	NA	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1570"	"Big Bend National Park"	"Amphibian"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus guttilatus"	"Spotted Chirping Frog"	"Approved"	"Present"	"Native"	"Rare"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1571"	"Big Bend National Park"	"Amphibian"	"Anura"	"Hylidae"	"Hyla arenicolor"	"Canyon Treefrog"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1572"	"Big Bend National Park"	"Amphibian"	"Anura"	"Hylidae"	"Hyla cinerea"	"Green Treefrog"	"Approved"	"Present"	"Not Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1573"	"Big Bend National Park"	"Amphibian"	"Anura"	"Microhylidae"	"Gastrophryne olivacea"	"Great Plains Narrow-Mouthed Toad"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1574"	"Big Bend National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana berlandieri"	"Rio Grande Leopard Frog"	"Approved"	"Present"	"Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
"BIBE-1575"	"Big Bend National Park"	"Amphibian"	"Anura"	"Ranidae"	"Rana catesbeiana"	"Bullfrog"	"Approved"	"Present"	"Not Native"	"Common"	NA	NA	"BIBE"	"TX"	801163	29.25	-103.25	12	6	1944	55	15
