"RECORD"	"ID"	"PARK_NAME"	"CATEGORY"	"ORDER"	"FAMILY"	"SCIENTIFIC_NAME"	"COMMON_NAME"	"RECORD_STATUS"	"NATIVENESS"	"ABUNDANCE"	"OCCURRENCE"	"CONSERVATION_STATUS"
"ACAD"	1430	"Acadia National Park"	"Amphibian"	"Anura"	"Bufonidae"	"Bufo americanus"	"American Toad"	"Approved"	"Native"	"Uncommon"	"Present"	NA
"ACAD"	1431	"Acadia National Park"	"Amphibian"	NA	"Hylidae"	"Hyla versicolor"	"Gray Treefrog"	"Approved"	"Unknown"	NA	"Not Present (Historical Report)"	NA
"ACAD"	1432	"Acadia National Park"	"Amphibian"	NA	NA	"Pseudacris crucifer"	"Spring Peeper"	"Approved"	"Native"	"Abundant"	"Present"	NA
"ACAD"	1433	"Acadia National Park"	"Amphibian"	NA	"Ranidae"	"Rana catesbeiana"	"Bullfrog"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1434	"Acadia National Park"	"Amphibian"	NA	NA	"Rana clamitans"	"Green Frog"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1435	"Acadia National Park"	"Amphibian"	NA	NA	"Rana palustris"	"Pickerel Frog"	"Approved"	"Native"	"Abundant"	"Present"	NA
"ACAD"	1436	"Acadia National Park"	"Amphibian"	NA	NA	"Rana pipiens"	"Northern Leopard Frog"	"Approved"	"Unknown"	NA	"Not Present (Historical Report)"	NA
"ACAD"	1437	"Acadia National Park"	"Amphibian"	NA	NA	"Rana sylvatica"	"Wood Frog"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1438	"Acadia National Park"	"Amphibian"	"Caudata"	"Ambystomatidae"	"Ambystoma laterale"	"Blue-Spotted Salamander"	"Approved"	"Not Native"	NA	"Not Confirmed"	NA
"ACAD"	1439	"Acadia National Park"	"Amphibian"	NA	NA	"Ambystoma maculatum"	"Spotted Salamander"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1440	"Acadia National Park"	"Amphibian"	NA	"Plethodontidae"	"Desmognathus fuscus"	"Northern Dusky Salamander"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1441	"Acadia National Park"	"Amphibian"	NA	NA	"Eurycea bislineata"	"Northern Two-Lined Salamander"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1442	"Acadia National Park"	"Amphibian"	NA	NA	"Hemidactylium scutatum"	"Four-Toed Salamander"	"Approved"	"Native"	"Common"	"Present"	NA
"ACAD"	1443	"Acadia National Park"	"Amphibian"	NA	NA	"Plethodon cinereus"	"Eastern Red-Backed Salamander"	"Approved"	"Native"	NA	"Not Present (Historical Report)"	NA
"ACAD"	1444	"Acadia National Park"	"Amphibian"	NA	"Salamandridae"	"Notophthalmus viridescens"	"Eastern Newt"	"Approved"	"Native"	"Uncommon"	"Present"	NA
